cgi_id,lon_gz,lat_gz
110082,29557.547815,64409.446807
84781,74146.8163409,28973.5600211
119413,48669.37212,28968.9596348
80588,37641.5331043,29347.6189098
89256,33771.6944686,35405.8318698
15223,56122.7463575,57466.0835972
35435,44708.7193511,35523.7957278
31255,39335.7953103,27329.521902
8242,38467.6426811,25767.1359803
42665,35009.9904811,34384.8549186
41807,36530.5452728,32497.9295006
96041,36530.5452728,32497.9295006
7718,65106.1945402,25363.2743568
8996,32664.3342093,46237.5823121
97715,73327.94167,30787.1222598
25738,55945.4984438,56263.9114155
68910,55895.4877496,56283.1257915
57686,55895.4877496,56283.1257915
112335,55901.4321947,56264.965266
91515,55895.4877496,56283.1257915
24972,34408.3428792,28194.8799476
24971,34408.4453549,28194.9908523
11117,34408.8552347,28196.0991468
42262,43522.815991,29903.1757434
11954,43177.4880248,29091.8486771
84424,47282.568303,6802.54328842
21996,32506.9646474,39208.4442329
61662,32506.9646474,39208.4442329
3519,45313.1270511,30102.5544184
49822,37081.8082766,34717.5133295
79991,44514.6478076,34810.8042611
95289,44514.6478076,34810.8042611
39311,49846.0346567,52811.2092794
118924,49846.0346567,52811.2092794
40216,49846.0346567,52811.2092794
34966,48741.831577,37640.8505254
64015,57733.6493914,59647.0840097
44153,42625.132159,28833.056801
52371,42625.132159,28833.056801
38206,42625.132159,28833.056801
50507,42625.132159,28833.056801
112552,44062.0409683,27598.8512991
57260,56484.4963954,57547.395298
57263,56484.4963954,57547.395298
57264,56484.4963954,57547.395298
10001,56484.4963954,57547.395298
94486,49367.2488835,29230.1452314
42838,49367.2488835,29230.1452314
26857,49367.2488835,29230.1452314
93427,39578.4075088,29040.9156772
101306,45517.3485664,30686.0573293
54281,45119.6220464,30782.0592194
75688,46006.5093928,12228.058264
3903,46600.8954529,12095.8507247
46073,42312.4771634,61014.0554829
48823,42312.4771634,61014.0554829
62569,47114.6121858,33144.5431468
65553,47114.6121858,33144.5431468
106469,47114.6121858,33144.5431468
4288,41456.6118115,21369.7555194
2469,39808.9303342,30659.6831739
31609,39452.538161,23840.7821031
70258,41144.8052847,43869.5322311
7837,48845.5857781,30443.6475841
46795,45971.5009067,16993.7401193
70666,90003.064018,43887.6875255
99609,99354.2907744,41899.1253799
86486,99354.2907744,41899.1253799
14783,99295.8669655,42200.3735091
115455,44787.2809302,33731.0399973
15272,35016.8919907,33365.6939728
69235,98968.9592087,42141.2603158
93497,98968.9592087,42141.2603158
93434,42372.2446487,22005.4200897
50106,49504.2350069,38923.5000899
36492,49504.2350069,38923.5000899
19440,49504.2350069,38923.5000899
59756,49504.2350069,38923.5000899
13389,49504.2350069,38923.5000899
3200,49504.2350069,38923.5000899
87495,31536.6976084,33031.3115418
63583,54394.1821539,20280.9016406
69142,54394.1821539,20280.9016406
70911,54394.1821539,20280.9016406
107251,54229.0968975,20012.3921357
71614,54394.1821539,20280.9016406
15296,29345.776154,59913.3211944
1788,29345.7761425,59913.6535323
68781,37702.1212436,28693.2090791
23423,36707.7037772,36275.7198784
66444,36925.977971,36485.3599148
6691,52940.7280067,28748.1985459
85263,36810.2629067,28079.3971302
109122,94505.7939955,47332.4529888
77298,41508.1884086,26427.7791109
70324,45712.6579518,31166.0814813
108806,41579.9400594,25968.1329233
92760,58083.1243018,59082.5374705
35481,73345.7883457,77582.5283907
67889,61427.4754761,31560.1953723
115157,61426.7582038,31557.75735
78557,34863.1784197,33199.3368862
68193,34863.1784197,33199.3368862
107372,49630.8775739,51370.8152362
65867,49616.3943484,25769.7054466
27444,34843.7702744,31385.3023863
68862,45442.2218392,30951.2817456
36609,35692.4675593,26589.0444873
295,99609.4952576,41024.281453
10624,40308.5052214,39890.2029269
94371,61849.866334,11756.7001933
52689,42312.4771634,61014.0554829
56430,43447.4021604,29582.5989653
68591,39518.9435606,29784.1718682
33165,48649.8588179,30184.1844713
87525,43502.3007744,30459.2626258
117495,43502.3007744,30459.2626258
21708,31170.8727689,32247.6542054
86814,34925.9952116,24434.556993
7313,35157.4832648,27769.2967487
110160,48219.8975977,17136.0743188
88426,48219.8975977,17136.0743188
98730,48219.8975977,17136.0743188
44519,46590.0055964,30587.1151386
79162,36969.4031135,31335.616592
61941,42853.5480559,32103.5408126
106006,45825.4909695,31079.1470867
93059,38918.3067428,32854.2383133
41644,39037.0890849,35560.7215752
67175,58176.3645881,59546.816799
78725,34847.6029788,39061.7574212
76141,61849.866334,11756.7001933
6444,48634.194398,9088.46663305
116876,32723.3037665,21358.511018
63094,43812.8357595,29828.2008503
66671,43809.7614496,29825.9815013
45948,47436.2703302,36822.8090556
83986,56456.0266296,21558.4951181
24927,38631.4981476,28988.7980781
107043,40516.1835803,26504.1102767
76008,35946.4270118,32058.528514
116503,90054.0010352,43753.0422716
35899,90849.8494459,43980.1169989
51805,42778.0871939,18377.11995
17906,38565.3996934,43724.5772517
62485,38565.3996934,43724.5772517
88378,41432.7874986,43447.8156912
65066,41432.7874986,43447.8156912
116237,61849.866334,11756.7001933
95,61849.866334,11756.7001933
85154,45749.294613,41492.3063173
29912,38556.8534666,24224.0897872
90945,54418.1343358,32306.6589982
69224,54418.1343358,32306.6589982
68089,48926.2857471,37901.4076318
14455,43177.4880248,29091.8486771
113074,68657.317124,48959.1772377
25598,49678.8768074,26636.0759175
58474,37327.0478753,25688.1942596
78252,37199.9426493,26568.7339592
95264,37173.280082,27083.8249822
93326,47259.0790231,33989.9659127
101901,47114.6121858,33144.5431468
36566,44407.4063294,24380.8035885
58536,42657.0118053,25636.0057482
30617,38108.9004634,27603.4173321
77985,49630.8775739,51370.8152362
117208,46645.2562645,33130.6750857
42195,90236.0002106,43883.5414958
8322,90236.0002106,43883.5414958
14944,41705.3823579,43470.305236
76180,41704.6650664,43468.4211102
82747,41705.3823579,43470.305236
57087,41641.4452924,25464.1624801
37158,41641.4452924,25464.1624801
80463,34600.0627196,25802.2821451
46061,55281.909124,10013.3027827
58889,46863.4137677,24893.2839507
76362,36380.1194401,26185.5418756
6110,41501.1600093,22245.8526134
767,44891.1689566,22678.7182077
82822,33980.1346807,23690.0701655
70619,50021.482858,37958.6918204
67400,39891.9656194,29886.5454309
79641,47952.959742,31280.0462755
73507,33959.3127808,33080.8044086
91548,33835.0985469,39244.4116037
1238,35019.8106708,37851.1506721
86033,40679.2364475,23324.9444806
101239,31536.034872,22601.4413343
116302,43270.1688665,16150.7264112
108081,40975.6471828,16273.0982331
16007,40134.6682865,5374.71080901
47270,40698.4705237,30153.4029652
44235,40698.4705237,30153.4029652
8694,40698.4705237,30153.4029652
99167,41248.8080626,29511.5568083
19354,35667.7241418,30861.7711035
29736,34017.6468728,35364.0368176
103122,39969.0752432,52207.5573438
73969,46093.651929,40743.8599055
118813,45704.8987683,21466.6811721
79619,33909.1334202,23198.1232397
24351,47502.1197076,29262.2036694
12255,30476.061086,32254.5582232
98392,45934.3910682,23250.5085374
75464,43431.2494947,31408.2217591
17340,34852.9931848,31392.5143296
12935,34852.9931848,31392.5143296
42162,47749.4836227,9223.86371749
86603,45832.4998149,32872.2291241
99914,44041.4227068,28171.2226098
47615,45832.4998149,32872.2291241
6197,46928.2281667,32386.6954814
109962,45832.4998149,32872.2291241
106099,46928.2281667,32386.6954814
69878,46928.2281667,32386.6954814
84888,36703.7803376,28260.9448053
100192,34462.49061,32989.4735539
59571,34462.49061,32989.4735539
50379,34693.72651,43588.010519
95493,47115.8199146,27874.7741825
52839,42498.0336627,29519.7327655
73326,43089.3671371,25807.3566552
42136,47099.8406973,15847.44798
17184,35011.4810187,41633.1451616
24382,37053.2260595,31489.3700653
74666,37981.9884766,22917.29835
17051,33398.9199099,28173.7040234
84389,46556.1289277,32269.8109624
46749,46556.1289277,32269.8109624
46750,46556.1289277,32269.8109624
50436,40068.9313461,39217.7009772
44361,29815.3982219,22738.9169662
108988,41556.1541858,2656.81950432
61869,74858.0336366,28710.7759444
93524,46547.0041367,29436.0657601
21410,40207.3338967,37629.295495
72731,36408.4459661,36779.3992842
71977,36632.1067125,29425.0365424
77601,39811.2198882,23747.0587824
67485,53733.9247968,28605.1564463
74127,36903.4368773,42262.5826552
35178,39768.9622292,30690.6524471
104552,46382.987849,30847.1930369
70816,35658.6076957,27787.6348696
82550,42307.3871104,30515.4051363
27493,46794.9886348,29898.3189284
63607,45837.1595756,49197.1129346
22405,45837.1595756,49197.1129346
106228,36582.9405964,31683.655137
96979,37104.3031721,36175.3962165
10440,36050.7823433,37065.8798018
93301,43749.2496709,31232.8043086
86409,36247.8880442,27129.219491
110779,37731.937377,28849.3335859
112959,37666.2479793,28849.2531742
51364,37666.2479793,28849.2531742
61875,84568.3954075,46044.1111059
80734,65823.2664713,77855.8071006
67859,37781.5296245,40884.3447052
116555,46253.2422003,48747.8583843
103404,46253.2422003,48747.8583843
114753,36616.6453309,32001.7437141
71569,52145.1199194,9789.56610588
3799,52145.1199194,9789.56610588
46368,52145.1199194,9789.56610588
3798,52145.1199194,9789.56610588
94163,40116.3798188,30348.7697462
27383,39285.1777976,33020.85633
54404,36006.3751086,46889.7321661
22059,35980.2823761,30989.5498861
101319,41238.6044844,28233.1514041
